"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Cuba","CUB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","40300","","","80600","124000","94860","92070","62000","62000","62000","62000","62000","62000","62000","62000","123690","402788","","519384","367967","211925","204796","189930","143254","119580","108101","106931","115803","112426","93403","87346","75945","70493","63392","53488","44667","39301","33699","31009","28967","20596","18996","17844","15703","11767","7697","5388","3582","2262","952","","",
"Curacao","CUW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","672","528","1145","1078","2645","2962","2981","3404","4089","1396","1692","","","","","",
"Cayman Islands","CYM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68","65","171","159","425","413","706","971","1259","1394","1126","942","1026","611","343","","",
"Cyprus","CYP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","6200","6200","6200","6200","6200","","","","","21700","","","","","","","","","","","1860","","3271","6151","8160","8333","7043","6288","5170","4483","9247","12887","8523","9389","19416","38584","58100","75673","97910","122988","149213","285912","325917","308109","304880","294984","379138","445066","482841","449665","451202","406291","336168","292986","380640","273308","","",
"Czech Republic","CZE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70482","958698","19176","125732","297550","253936","193746","202150","137852","132896","136167","145251","169736","151561","194639","200043","209092","214755","229233","234329","214737","234845","229896","231890","229448","206880","166540","89626","67790","46296","34362","5657756","2639840","","",
"Germany","DEU","Refugee population by country or territory of asylum","SM.POP.REFG","6107000","5890000","5735000","5642000","5580000","5580000","4340000","3472000","3410000","3503000","3565000","3875000","3875000","3875000","3813000","3782000","3782000","3720000","2588500","2697000","2914000","3100000","3100000","3565000","3924600","14725000","16984900","18482200","18916200","19483500","82416000","83793000","126072000","144636000","143587600","142004800","141792000","117488000","106310400","109256000","101472000","101136000","109760031","107564208","96353564","75601044","64171105.5","59624155","59438474","58785729","57049235","50307820","49537846","14254410","16055475","19914718","38159226","44635597","43617255","37840512","29054544","22602492","26980785","18151049","","",
"Djibouti","DJI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","248000","620000","892800","1404610","985800","1060200","904270","519870","535680","518320","407340","39432","973679","7838206","9806688","2856000","3474630","3541176","3058680","2808740","2642089","2641097","2606311","2602883","2595692","2430612","3027664","1983648","1129393","981556","685164","941256","1198834","1449922","1789796","1607583","1520985","1519065","1220119","1007876","807363","750033","648091","508722","418176","264979","161441","","",
"Dominica","DMA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","",
"Denmark","DNK","Refugee population by country or territory of asylum","SM.POP.REFG","71300","68200","68200","68200","","","","","","","62000","136400","114297","114297","89900","65875","65100","54684","55800","55800","55800","55800","55800","111600","263500","263500","713000","930000","846610","952506","3322917","3682910","3990222","4545714","5253342","7262530","7433816","7629076","7729041","7727912","7955232","8207864","8242975","7824175","7183905","4792124","3885739","2758897","2386406","2014680","1720047","1178709","991849","1000393","1315532","1721104","1908932","1639603","1501623","1238603","879882","648414","881036","482384","","",
"Dominican Republic","DOM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","31000","31000","34100","","31000","","","15500","9300","102300","117800","155000","155000","155000","159030","186000","154380","155000","145266","102920","198566","160242","52020","135731","132704","110297","71427","71308","68704","69786","56956","","","","","","","","","","57535","52360","63641","54796","44992","38745","33621","27099","6784","5426","3948","2916","7098","5446","","",
"Algeria","DZA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","15500","","","","","651000","1226980","1612000","1612000","1612000","1612000","5177000","5177000","5177000","5177000","5398960","5183820","5177000","5270000","5242193","17249220","17250648","22370028","22344834","23221726","21558814","21310042","19123066","18505216","18507694","19001594","18975017","18953958","18931527","18595243","10162997","9983191","9696074","9597517","9319532","9037731","8284931","7907079","7155152","6965193","6027462","5370720","4335333","3868071","3253777","2343744","1762020","1288391","690130","","",
"East Asia & Pacific","EAP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46241292","43384177","40031117","42868868","42779678","49614496","50030308","54423088","56062368","69588321","66549464","61173875","56642311","49850349","49710846","49696213","50856752","48178184","46820964","47581325","47231702","42500587","40918179","41091645","39115672","32208824","30436806","25335513","23244602","18173719","13227408","10056528","3257150","1704199","","",
