"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
North Africa,3171.837,3251.634,3545.914,3722.195,3894.56,4112.178,4114.397,4095.514,4258.218,4493.921,4742.549,4991.508,4996.897,4978.272,5159.121,5172.315,5445.117,5582.884,5878.857,6096.131,6385.607,6666.614,6863.368,7272.775,7687.432,8196.9,8734.282,9304.054,9766.43,9917.971,10319.345,10120.083,10707.305,10847.326,10984.826,11263.036,11522.971,11915.11,12631.527,13223.572,13718.907,14576.207,16140.337,17141.126,17774.641,18701.435,19496.035,20301.27,21157.064,22091.111,22956.213
North America,11161.561,12476.391,12858.627,13621.348,14878.08,15765.223,16293.599,17054.608,18125.695,19269.305,20144.077,20564.91,21425.009,22225.291,23320.071,23910.595,24972.968,26274.064,27470.195,28801.345,30359.945,30985.681,31623.962,32729.051,34520.967,36401.494,38228.561,39607.815,40037.236,38671.68,39904.287,41114.487,42493.86,43700.66,45201.232,46490.507,47373.998,49024.783,51146.057,52759.057,51526.936,57057.02,62376.14,65877.791,68529.896,71062.446,73513.308,75901.304,78321.96,80759.218,83278.224
Pacific Islands ,1348.386,1480.14,1537.693,1573.315,1654.622,1677.397,1772.994,1820.338,1892.896,1967.429,1981.717,2086.947,2222.228,2420.21,2618.894,2590.276,2719.946,2579.768,2636.183,2711.351,2653.737,2666.469,2676.338,2826.134,2907.068,3008.472,3111.399,3269.286,3284,3357.181,3474.204,3403.761,3439.223,3488.525,3755.009,3845.085,3902.374,3956.116,3884.827,3870.242,3506.749,3444.833,3896.957,4167.407,4340.202,4542.477,4686.332,4815.388,4945.73,5084.217,5233.261
South America,4539.06,4732.225,4885.845,4831.16,5110.228,5346.392,5728.346,5976.54,6126.684,6195.427,6182.759,6530.317,6768.86,7119.756,7493.984,7786.63,7961.205,8365.198,8438.63,8309.684,8592.668,8731.706,8723.815,8979.851,9771.637,10484.217,11300.445,12262.924,12982.756,12777.786,13647.335,14485.964,14988.542,15605.5,15794.684,15612.197,15216.446,15466.107,16135.11,16368.829,15843.874,18012.674,19995.157,20959.465,21834.65,22841.459,23629.275,24480.656,25369.702,26344.044,27383.366
South Asia,589.235,666.361,718.622,777.337,819.081,871.344,911.299,950.148,1040.143,1113.202,1190.038,1230.816,1299.234,1358.7,1442.388,1541.462,1649.801,1709.806,1786.685,1911.816,1997.297,2093.359,2161.828,2320.018,2518.203,2750.652,3001.409,3253.77,3385.14,3575.682,3830.205,4051.09,4285.336,4553.419,4881.945,5216.644,5590.337,5986.558,6509.985,6901.282,6794.042,7751.234,8806.001,9742.137,10468.288,11254.208,12000.979,12821.923,13707.938,14688.503,15761.403
Southeast Asia,1332.232,1520.005,1646.393,1754.48,1862.32,1937.259,2030.814,2137.05,2351.348,2612.533,2864.349,3118.268,3343.777,3623.649,3917.333,4242.655,4549.597,4733.215,4032.687,4165.697,4459.154,4639.481,4883.744,5201.738,5613.182,6041.197,6519.222,7048.322,7448.134,7571.301,8122.236,8584.397,9162.521,9667.321,10175.78,10649.464,11162.581,11851.637,12723.115,13453.417,13038.333,13994.666,15714.528,16808.895,17890.671,18950.452,19943.557,21015.05,22140.62,23371.228,24713.228
Sub-Saharan Africa (Region) ,1286.402,1414.793,1470.228,1481.212,1534.807,1549.727,1586.343,1625.29,1699.034,1757.567,1918.89,1930.166,1913.201,1928.676,1946.638,2016.701,2091.852,2136.657,2194.527,2215.698,2286.015,2386.526,2507.351,2609.573,2785.233,2969.011,3158.141,3356.202,3502.515,3544.964,3737.964,3879.328,3981.735,4122.851,4284.006,4343.751,4324.809,4399.11,4487.418,4680.617,4633.574,4923.381,5361.97,5592.033,5783.075,6017.313,6241.46,6476.027,6715.079,6976.321,7253.389
Western Europe,10718.879,11808.064,12603.88,13309.446,14122.844,14928.933,15608.24,16434.555,17672,18973.839,20178.833,21134.904,21780.32,22153.575,23166.854,24193.88,25037.632,26190.496,27237.183,28379.995,30079.994,31297.747,31940.964,32744.349,34211.634,35747.751,37815.9,39709.577,40359.672,38689.756,39838.386,41119.486,41521.136,42197.737,43500.842,44653.958,45705.562,47565.772,49417.159,52794.382,51200.706,56675.824,62667.577,64824.126,66701.144,68800.089,70582.291,72494.61,74424.684,76465.978,78633.093
Western Hemisphere (Region),8024.581,8808.456,9063.284,9434.193,10203.554,10758.561,11179.356,11671.209,12280.095,12899.979,13317.946,13676.271,14225.494,14784.806,15422.617,15846.037,16434.546,17267.634,17903.078,18519.798,19409.92,19779.696,20098.217,20764.755,22009.972,23277.016,24576.876,25717.307,26259.899,25472.855,26472.289,27459.305,28379.649,29264.604,30117.546,30697.137,30982.157,31931.848,33291.965,34232.608,33323.111,37081.989,40711.729,42982.564,44796.006,46537.422,48124.353,49727.394,51370.384,53071.455,54828.331
ASEAN-5,1498.946,1710.174,1846.169,1963.2,2076.668,2122.117,2230.211,2394.288,2645.509,2947.713,3256.883,3553.881,3808.255,4132.45,4468.029,4836.74,5179.007,5373.376,4874.494,5022.199,5370.962,5552.387,5823.668,6174.706,6631.93,7096.501,7621.47,8213.481,8656.29,8748.717,9396.455,9875.291,10539.197,11093.491,11630.837,12131.118,12674.113,13422.444,14313.9,15042.297,14421.262,15751.825,17642.439,18855.824,20026.478,21174.522,22238.428,23383.96,24590.692,25925.407,27381.365
Advanced economies,10356.455,11503.591,12155.288,12948.654,13975.563,14862.286,15565.464,16453.678,17724.899,19016.621,20153.653,20971.638,21614.228,22127.347,23200.777,24064.439,25089.378,26253.597,27122.587,28322.668,29979.958,30945.604,31729.126,32805.347,34565.32,36426.699,38456.154,40307.385,40935.245,39561.14,41057.645,42400.229,43475.277,44678.889,46185.261,47473.199,48549.766,50490.756,52565.778,55011.115,54096.856,59761.818,65574.004,68634.981,71149.142,73766.677,76134.909,78533.845,80957.68,83462.634,86086.13
Emerging and Developing Asia,532.792,605.402,661.716,721.422,785.994,849.57,901.815,968.334,1074.744,1163.986,1256.133,1355.417,1480.898,1622.981,1781.121,1948.72,2116.565,2248.007,2269.393,2419.348,2599.232,2778.353,2968.114,3237.299,3560.563,3952.791,4418.826,4961.946,5355.839,5726.176,6261.706,6793.39,7321.653,7875.195,8477.939,9054.949,9663.541,10390.184,11263.769,12091.379,12256.582,13752.269,15334.815,16775.525,18008.488,19305.108,20482.275,21735.287,23037.588,24429.863,25901.876
Emerging and Developing Europe,4562.385,4884.736,5186.435,5559.498,5922.771,6187.511,6515.658,6934.575,7235.256,7459.814,7590.674,7323.409,8896.478,8624.16,7967.306,8057.563,8142.641,8472.697,8476.001,8781.303,9640.06,10138.675,10815.667,11730.572,13008.51,14253.946,15790.093,17380.865,18477.563,17434.695,18395.486,19763.826,20701.875,21584.213,22293.601,22589.45,23134.723,24482.912,26284.247,28409.205,29005.147,33812.803,36896.481,39719.891,42255.88,44201.527,46008.504,47872.751,49887.438,52039.049,54352.779
Emerging market and developing economies,1511.45,1652.294,1737.416,1794.352,1893.987,1980.649,2043.191,2130.547,2245.274,2351.536,2467.74,2596.863,3090.197,3191.671,3274.552,3404.574,3573.52,3741.188,3776.27,3905.581,4155.186,4339.517,4518.458,4816.478,5247.97,5703.155,6243.437,6830.839,7245.477,7350.436,7864.088,8395.219,8842.371,9300.006,9759.536,10119.912,10498.217,11040.354,11764.047,12399.328,12336.416,13804.676,15258.88,16394.673,17340.342,18419.874,19307.236,20241.043,21204.834,22234.996,23316.349
European Union,9619.68,10560.842,11242.661,11850.533,12566.868,13225.896,13820.862,14498.247,15538.145,16663.147,17625.734,18381.185,18680.458,18764.4,19653.704,20389.966,21171.764,22071.818,22951.024,23915.049,25387.349,26490.276,27170.263,27930.477,29353.527,30810.095,32843.223,34726.078,35602.334,34228.859,35288.455,36653.333,37010.922,37591.164,38839.184,40072.72,41170.899,43115.082,45132.168,48677.033,47616.936,52693.138,58389.482,60573.704,62604.418,64870.49,66867.098,68958.971,71070.465,73312.218,75673.469
Latin America and the Caribbean,4746.819,5128.58,5300.912,5219.25,5499.593,5716.268,5923.201,6149.638,6304.681,6465.261,6596.535,6954.237,7226.11,7559.576,7877.503,7978.078,8249.983,8716.627,8928.4,8930.612,9302.693,9425.275,9437.817,9685.23,10400.313,11053.923,11882.079,12716.098,13293.412,12894.646,13671.539,14431.326,14958.4,15472.693,15768.785,15789.21,15629.529,15959.005,16527.552,16778.922,16011.336,17985.719,19955.707,21023.888,21884.675,22791.687,23566.941,24421.647,25316.199,26294.816,27308.583
Major advanced economies (G7),11153.254,12413.026,13091.005,13979.237,15122.508,16101.742,16836.965,17757.125,19122.728,20483.357,21648.668,22455.439,23272.718,23909.137,24995.315,25993.028,27035.846,28210.692,29166.417,30341.079,32012.711,32943.335,33630.978,34726.672,36472.609,38345.667,40325.131,42029.071,42567.707,41016.02,42497.151,43855.197,45061.855,46321.933,47809.329,49053.761,50050.48,51951.35,54013.465,56403.999,55308.052,60753.46,66531.885,69803.757,72267.969,74854.234,77275.661,79696.457,82132.057,84621.331,87199.044
Middle East and Central Asia,3999.877,4261.825,4366.623,4445,4467.083,4546.437,4409.82,4426.894,4526.334,4704.513,4961.992,5346.77,5216.114,5298.79,5369.21,5480.011,5727.716,5892.372,6067.037,6186.637,6542.293,6776.344,6771.38,7069.258,7659.994,8185.686,8764.381,9328.249,9734.667,9722.688,10131.647,10788.922,10952.372,11184.309,11462.211,11611.885,11911.156,12132.973,12771.838,12885.67,12235.262,13452.903,15006.323,15626.532,16086.697,17472.577,18139.772,18813.003,19486.578,20201.728,20940.979
Other advanced economies,6737.459,7586.455,8113.725,8643.183,9433.796,10055.897,10709.203,11549.618,12459.37,13394.281,14323.456,15141.431,15903.719,16764.544,17973.366,18850.239,19911.441,20995.604,21239.397,22553.938,24225.708,25143.456,26354.469,27442.046,29462.064,31455.756,33709.424,36088.672,37049.949,36603.063,38917.961,40725.699,42053.317,43546.52,45252.594,46346.395,47651.909,49736.054,51949.215,53949.311,54519.443,61328.619,66929.586,69797.61,72714.642,75467.184,78006.151,80648.615,83354.262,86203.831,89259.46
Sub-Saharan Africa,1299.504,1426.849,1479.619,1491.818,1555.863,1572.021,1603.103,1638.852,1711.666,1771.293,1936.341,1940.87,1918.07,1931.886,1948.748,2006.724,2080.223,2121.935,2174.691,2192.192,2256.352,2347.797,2467.662,2565.71,2741.475,2922.558,3104.731,3302.07,3449.744,3505.311,3703.384,3820.612,3970.004,4115.81,4277.713,4334.269,4309.458,4386.44,4476.8,4691.494,4632.85,4964.06,5416.659,5686.424,5913.974,6154.471,6378.72,6607.256,6844.918,7108.799,7390.621
World,3376.306,3707.898,3886.482,4069.175,4329.217,4546.063,4703.929,4910.188,5216.083,5516.557,5710.789,5937.66,6274.201,6439.17,6660.376,6930.696,7211.818,7517.5,7624.101,7894.988,8342.046,8624.873,8858.112,9231.442,9841.972,10486.96,11228.59,11981.504,12398.484,12244.43,12871.387,13502.353,13990.837,14515.412,15086.615,15544.058,15984.177,16683.976,17562.614,18414.589,18195.795,20203.995,22241.682,23628.658,24766.888,26061.624,27103.721,28189.383,29303.472,30484.972,31723.318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
