"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,48.92582,52.215866,55.371758,58.501783,59.266514,58.07206,57.126257,57.811286,57.009728,64.79934,64.488658,62.455029,57.95933,58.907477,56.345654,55.795157,55.872224,56.813863,60.840168,65.568692,68.428078,75.966607,77.346309,84.662338,88.450692,98.38775,107.00713,114.6794,114.73925,115.80012,114.31114,110.86404,111.99127,108.69974,112.02826,120.02742,128.71436,136.01111,144.38613,154.38852,154.58734,158.15035,165.65002,172.1944,175.98698,185.27736,185.22264,177.04664,172.47439,173.12756,167.45915,159.96825,157.76803,163.30149,163.72631,158.54684,156.98778,176.68794,163.85749,148.60115,142.23607,137.32273
United States,55.314634,53.657228,56.555505,58.016532,62.573558,65.340243,68.086068,69.869603,73.723216,74.923568,77.881108,81.028202,82.024513,85.316883,86.940663,88.123746,87.445577,90.548618,90.031423,90.750793,92.175938,93.275629,95.334661,96.80455,99.172359,96.477947,94.983392,97.172852,98.528729,100.63087,101.42073,99.407395,101.93791,103.43242,106.5813,113.11039,119.38554,122.65362,124.91557,125.24709,125.06999,123.11247,119.22489,118.84582,119.37548,121.46955,122.3489,124.07587,129.39519,133.94908,136.71962,141.40868,145.61821,149.31458,153.24778,157.34416,163.86187,170.59067,170.67005,169.49575,160.65068,156.05057,152.6867,151.61272,150.61581,150.77912,152.4659,154.13984,153.43263,153.13333,164.61049,159.82412,153.9253,147.73026,143.12024
Uruguay,14.332967,15.05843,13.203594,13.699875,14.208665,18.063029,19.650718,16.850138,25.144173,22.186226,15.041396,14.382253,16.386553,16.188986,18.81412,14.175583,10.298796,9.3142927,6.9436532,7.3249144,8.3692215,8.3117473,10.005542,8.1844799,8.0579831,17.299177,19.015426,22.369545,25.528153,30.186166,33.924027,35.903337,62.988674,43.621276,38.01404,41.320503,36.801244,29.572579,34.926387,35.632956,28.383824,22.846756,22.962464,22.466783,21.636067,24.01554,24.333542,26.547881,41.137099,43.332652,49.002239,53.232063,71.063068,45.270419,27.752668,23.854854,23.115563,24.490608,27.547122,21.329123,25.738757,22.403688,23.515978,28.908228,30.374252,32.723955,31.832521,29.968453,31.027868,29.79986,33.750502,33.33135,33.298753,30.567357,33.968736
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.007267,46.706204,51.012867,35.536666,31.970043,31.375384,29.525102,29.938156,28.052378,27.344848,29.524326,29.918472,30.095816,30.236797,33.271878,29.862881,35.497369,35.066754,33.542134,32.463512,33.548307,30.309606,31.706999,35.145492,30.865442,32.804688,36.289495,37.887904,39.097537,42.98088,41.864247,43.215416,54.738789,64.583815,67.227672,68.999128,73.404343,72.397008,74.765842,68.68654,65.899112,63.935738,61.015455,57.882224,59.13606,59.874382,54.026081,51.512904,52.808591
Venezuela,4.1970766,4.1350708,4.406326,5.4649941,6.1652208,6.9289802,7.3344298,9.0775518,10.070606,11.365607,10.186533,9.8962063,9.3874681,9.0864811,9.5296,9.9823418,9.73173,10.249166,10.79229,10.865399,10.798089,11.21097,12.408496,14.216498,16.533352,21.384716,25.017609,25.717621,28.823789,24.512892,23.514916,22.866899,25.213308,26.444795,25.971362,26.132098,30.944531,30.121164,30.421146,20.256654,16.795367,18.724175,18.901666,16.030988,9.353501,8.8018911,8.2636956,12.81957,12.243052,11.403282,10.66038,11.786594,9.537742,8.3911262,10.529592,12.608304,15.816923,21.302027,19.748032,22.20598,18.594328,20.252043,23.639263,27.197022,24.789496,23.821575,no data,no data,no data,no data,no data,no data,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.755824,13.018172,no data,14.558042,14.70403,15.632426,15.84907,22.199015,27.76912,30.944082,33.968665,38.096797,42.448471,47.622062,51.475482,67.447552,65.268412,81.373973,90.35317,79.943082,75.549391,77.558111,80.001032,90.399227,98.858961,103.97203,105.27598,108.0319,115.52535,124.2829,124.96148,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.2197921,4.9437354,4.6548319,4.8467971,4.2027672,4.6048062,3.0145335,3.8882618,5.3493756,5.2465128,4.86063,5.7347658,5.8012883,6.3663978,7.1625362,6.9393122,6.9132196,8.184085,7.704922,7.735476,6.2893406,5.0687258,4.6454041,5.6367195,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.3074483,10.599746,12.376571,10.286785,10.311528,14.618981,14.690357,13.303741,13.434438,22.677258,21.584391,17.031297,15.415837,11.887239,12.627673,12.824981,16.213928,17.877717,17.400725,10.231699,7.8579825,7.5850469,7.5592565,8.3433702,10.140626,7.3011917,6.4252675,4.6464831,4.212164,5.5057626,7.2281391,7.9859048,6.7615596,5.9066874,6.3620736,7.301835,6.3007646,5.2598116,5.8024272,6.8787084,6.4830731,8.040361,9.572419,12.15615,9.9209793,9.1055734,9.9703957,11.891384,11.586874,13.286469,15.628654,12.005455,11.099158,11.585763,12.432775,12.178881,8.4401889,10.168601,12.73842,12.400029
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.0077258,no data,1.6314306,0.69089072,3.9920561,10.484679,11.993417,12.136665,15.706367,19.424721,25.075055,12.377873,15.280357,18.703188,21.804807,21.22171,24.790009,21.544091,26.580997,24.815419,16.161583,21.562499,27.724157,84.811972,53.168157,17.047785,14.948799,no data,no data,no data,7.1590915,13.543689,18.983398,20.140724,18.73193,19.210345,18.315744,17.098496,5.8100542,5.8302674,5.2377057,5.4150744,6.9263647,8.6514511,8.1785858,no data
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
